,Name,Points,Assists,Offensive Rebounds,Position,Season
5271,D'Angelo Russell,12.0,3.0,0.0,PG,2016.0
5291,Danilo Gallinari,14.0,1.0,0.0,SF,2010.0
5292,Danilo Gallinari,11.0,1.0,0.0,PF-SF,2011.0
5296,Danilo Gallinari,14.0,2.0,0.0,SF,2013.0
5299,Danilo Gallinari,13.0,1.0,0.0,SF,2017.0
5337,Danny Fortson,10.0,1.0,3.0,PF,2002.0
5344,Danny Granger,13.0,1.0,1.0,SF,2007.0
5345,Danny Granger,19.0,2.0,1.0,SF,2008.0
5346,Danny Granger,21.0,2.0,0.0,SF,2009.0
5347,Danny Granger,18.0,2.0,0.0,SF,2010.0
5348,Danny Granger,19.0,2.0,1.0,SF,2011.0
5349,Danny Granger,14.0,1.0,0.0,SF,2012.0
5358,Danny Green,10.0,1.0,0.0,SG,2013.0
5360,Danny Green,11.0,1.0,0.0,SG,2015.0
5361,Danny Green,6.0,1.0,0.0,SG,2016.0
5427,Dante Cunningham,8.0,0.0,1.0,PF,2013.0
5436,Dario Saric,12.0,2.0,1.0,PF,2017.0
5439,Darius Miles,9.0,1.0,1.0,SF,2001.0
5440,Darius Miles,9.0,2.0,1.0,SF,2002.0
5441,Darius Miles,7.0,2.0,1.0,SF,2003.0
5442,Darius Miles,10.0,1.0,1.0,SF,2004.0
5525,Darrell Armstrong,16.0,6.0,0.0,PG,2000.0
5526,Darrell Armstrong,14.0,6.0,1.0,PG,2001.0
5527,Darrell Armstrong,12.0,5.0,1.0,PG,2002.0
5528,Darrell Armstrong,9.0,3.0,1.0,PG,2003.0
5529,Darrell Armstrong,10.0,3.0,0.0,PG,2004.0
5568,Darren Collison,11.0,5.0,0.0,PG,2010.0
5569,Darren Collison,12.0,4.0,0.0,PG,2011.0
5571,Darren Collison,11.0,5.0,0.0,PG,2013.0
5572,Darren Collison,11.0,3.0,0.0,PG,2014.0
5574,Darren Collison,12.0,3.0,0.0,PG,2016.0
5575,Darren Collison,10.0,3.0,0.0,PG,2017.0
5865,David Lee,10.0,1.0,2.0,PF,2008.0
5866,David Lee,15.0,2.0,3.0,C,2009.0
5867,David Lee,20.0,3.0,2.0,C,2010.0
5868,David Lee,14.0,2.0,2.0,PF,2011.0
5869,David Lee,13.0,1.0,2.0,PF,2012.0
5870,David Lee,17.0,3.0,2.0,PF,2013.0
5871,David Lee,15.0,1.0,2.0,PF,2014.0
5894,David Robinson*,17.0,1.0,2.0,C,2000.0
5895,David Robinson*,14.0,1.0,2.0,C,2001.0
5896,David Robinson*,11.0,1.0,2.0,C,2002.0
5930,David Wesley,13.0,5.0,0.0,PG,2000.0
5931,David Wesley,17.0,4.0,0.0,SG,2001.0
5932,David Wesley,11.0,2.0,0.0,SG,2002.0
5933,David Wesley,14.0,3.0,0.0,SG,2003.0
5934,David Wesley,10.0,2.0,0.0,SG,2004.0
5935,David Wesley,11.0,3.0,0.0,SG,2005.0
5938,David Wesley,8.0,2.0,0.0,SG,2006.0
5942,David West,15.0,1.0,2.0,PF,2006.0
5944,David West,19.0,2.0,2.0,PF,2008.0
5945,David West,19.0,2.0,1.0,PF,2009.0
5946,David West,18.0,2.0,2.0,PF,2010.0
5947,David West,16.0,2.0,1.0,PF,2011.0
5949,David West,15.0,2.0,1.0,PF,2013.0
5950,David West,13.0,2.0,1.0,PF,2014.0
6002,DeAndre Jordan,6.0,0.0,2.0,C,2011.0
6004,DeAndre Jordan,8.0,0.0,2.0,C,2013.0
6005,DeAndre Jordan,10.0,0.0,4.0,C,2014.0
6006,DeAndre Jordan,11.0,0.0,4.0,C,2015.0
6007,DeAndre Jordan,11.0,1.0,3.0,C,2016.0
6008,DeAndre Jordan,12.0,1.0,3.0,C,2017.0
6073,Delonte West,10.0,4.0,0.0,PG,2006.0
6074,Delonte West,10.0,3.0,0.0,SG,2007.0
6078,Delonte West,9.0,2.0,0.0,SG,2009.0
6083,DeMar DeRozan,17.0,1.0,0.0,SG,2011.0
6084,DeMar DeRozan,12.0,1.0,0.0,SG,2012.0
6085,DeMar DeRozan,18.0,2.0,0.0,SG,2013.0
6086,DeMar DeRozan,21.0,3.0,0.0,SG,2014.0
6087,DeMar DeRozan,14.0,2.0,0.0,SG,2015.0
6088,DeMar DeRozan,22.0,3.0,0.0,SG,2016.0
6089,DeMar DeRozan,24.0,3.0,0.0,SG,2017.0
6091,DeMarcus Cousins,13.0,2.0,2.0,C,2011.0
6093,DeMarcus Cousins,15.0,2.0,2.0,C,2013.0
6094,DeMarcus Cousins,19.0,2.0,2.0,C,2014.0
6095,DeMarcus Cousins,17.0,2.0,2.0,C,2015.0
6096,DeMarcus Cousins,21.0,2.0,1.0,C,2016.0
6097,DeMarcus Cousins,23.0,4.0,1.0,C,2017.0
6109,DeMarre Carroll,9.0,1.0,1.0,SF,2014.0
6110,DeMarre Carroll,10.0,1.0,1.0,SF,2015.0
6186,Dennis Schroder,17.0,6.0,0.0,PG,2017.0
6206,Derek Anderson,13.0,2.0,0.0,SG,2000.0
6207,Derek Anderson,15.0,3.0,0.0,SG,2001.0
6209,Derek Anderson,12.0,3.0,0.0,PG,2003.0
6223,Derek Fisher,10.0,3.0,0.0,PG,2003.0
6225,Derek Fisher,10.0,3.0,0.0,PG,2005.0
6226,Derek Fisher,13.0,4.0,0.0,PG,2006.0
6227,Derek Fisher,10.0,3.0,0.0,SG,2007.0
6228,Derek Fisher,11.0,2.0,0.0,PG,2008.0
6229,Derek Fisher,9.0,3.0,0.0,PG,2009.0
6230,Derek Fisher,7.0,2.0,0.0,PG,2010.0
6231,Derek Fisher,6.0,2.0,0.0,PG,2011.0
6290,Deron Williams,10.0,4.0,0.0,PG,2006.0
6291,Deron Williams,15.0,9.0,0.0,PG,2007.0
6292,Deron Williams,18.0,10.0,0.0,PG,2008.0
6293,Deron Williams,16.0,8.0,0.0,PG,2009.0
6294,Deron Williams,17.0,9.0,0.0,PG,2010.0
6295,Deron Williams,15.0,8.0,0.0,PG,2011.0
6296,Deron Williams,13.0,6.0,0.0,PG,2011.0
6299,Deron Williams,18.0,7.0,0.0,PG,2013.0
6300,Deron Williams,11.0,4.0,0.0,PG,2014.0
6301,Deron Williams,10.0,5.0,0.0,PG,2015.0
6302,Deron Williams,11.0,4.0,0.0,PG,2016.0
6337,Derrick Coleman,15.0,2.0,1.0,PF,2000.0
6339,Derrick Coleman,10.0,1.0,2.0,PF,2002.0
6354,Derrick Favors,11.0,1.0,2.0,PF,2014.0
6355,Derrick Favors,14.0,1.0,2.0,PF,2015.0
6377,Derrick Rose,16.0,6.0,1.0,PG,2009.0
6378,Derrick Rose,19.0,5.0,0.0,PG,2010.0
6379,Derrick Rose,24.0,7.0,0.0,PG,2011.0
6383,Derrick Rose,13.0,3.0,0.0,PG,2016.0
6384,Derrick Rose,14.0,3.0,0.0,PG,2017.0
6416,DeShawn Stevenson,11.0,1.0,0.0,SG-SF,2004.0
6420,DeShawn Stevenson,10.0,1.0,0.0,SG,2006.0
6421,DeShawn Stevenson,11.0,2.0,0.0,SG,2007.0
6422,DeShawn Stevenson,11.0,3.0,0.0,SG,2008.0
6434,Desmond Mason,11.0,1.0,1.0,SF,2002.0
6435,Desmond Mason,13.0,1.0,1.0,SF,2003.0
6438,Desmond Mason,14.0,1.0,1.0,SF,2004.0
6439,Desmond Mason,16.0,2.0,1.0,SF,2005.0
6440,Desmond Mason,9.0,0.0,0.0,SF,2006.0
6441,Desmond Mason,12.0,1.0,1.0,SF,2007.0
6475,Devin Booker,12.0,2.0,0.0,SG,2016.0
6476,Devin Booker,21.0,3.0,0.0,SG,2017.0
6501,Devin Harris,9.0,3.0,0.0,PG,2007.0
6502,Devin Harris,11.0,4.0,0.0,PG,2008.0
6505,Devin Harris,17.0,5.0,0.0,PG,2009.0
6506,Devin Harris,13.0,5.0,0.0,PG,2010.0
6507,Devin Harris,13.0,6.0,0.0,PG,2011.0
6701,Dikembe Mutombo*,11.0,1.0,3.0,C,2000.0
6702,Dikembe Mutombo*,9.0,0.0,3.0,C,2001.0
6705,Dikembe Mutombo*,11.0,1.0,3.0,C,2002.0
6731,Dion Waiters,13.0,2.0,0.0,SG,2014.0
6732,Dion Waiters,11.0,1.0,0.0,SG,2015.0
6735,Dion Waiters,9.0,1.0,0.0,SG,2016.0
6746,Dirk Nowitzki,17.0,2.0,1.0,PF,2000.0
6747,Dirk Nowitzki,21.0,2.0,1.0,PF,2001.0
6748,Dirk Nowitzki,21.0,2.0,1.0,C,2002.0
6749,Dirk Nowitzki,24.0,2.0,0.0,PF,2003.0
6750,Dirk Nowitzki,20.0,2.0,1.0,C,2004.0
6751,Dirk Nowitzki,24.0,2.0,1.0,PF,2005.0
6752,Dirk Nowitzki,26.0,2.0,1.0,PF,2006.0
6753,Dirk Nowitzki,23.0,3.0,1.0,PF,2007.0
6754,Dirk Nowitzki,22.0,3.0,1.0,PF,2008.0
6755,Dirk Nowitzki,25.0,2.0,1.0,PF,2009.0
6756,Dirk Nowitzki,24.0,2.0,0.0,PF,2010.0
6757,Dirk Nowitzki,20.0,2.0,0.0,PF,2011.0
6758,Dirk Nowitzki,16.0,1.0,0.0,PF,2012.0
6760,Dirk Nowitzki,21.0,2.0,0.0,PF,2014.0
6761,Dirk Nowitzki,16.0,1.0,0.0,PF,2015.0
6762,Dirk Nowitzki,16.0,1.0,0.0,PF,2016.0
6796,Dominic McGuire,4.0,2.0,1.0,SF,2009.0
7027,Donatas Motiejunas,10.0,1.0,1.0,PF,2015.0
7075,Donyell Marshall,11.0,2.0,2.0,PF,2000.0
7076,Donyell Marshall,13.0,1.0,2.0,SF,2001.0
7078,Donyell Marshall,12.0,1.0,2.0,PF,2003.0
7079,Donyell Marshall,14.0,1.0,2.0,PF,2004.0
7081,Donyell Marshall,13.0,1.0,2.0,PF,2004.0
7083,Donyell Marshall,9.0,0.0,1.0,PF,2006.0
7095,Dorell Wright,16.0,2.0,1.0,SF,2011.0
7123,Doug Christie,11.0,3.0,0.0,SG,2000.0
7124,Doug Christie,12.0,3.0,1.0,SG,2001.0
7125,Doug Christie,11.0,4.0,0.0,SG,2002.0
7126,Doug Christie,9.0,4.0,0.0,SG,2003.0
7127,Doug Christie,10.0,4.0,0.0,SG,2004.0
7195,Draymond Green,11.0,3.0,1.0,PF,2015.0
7196,Draymond Green,13.0,7.0,1.0,PF,2016.0
7197,Draymond Green,9.0,6.0,1.0,PF,2017.0
7212,Drew Gooden,11.0,1.0,1.0,PF,2004.0
7213,Drew Gooden,14.0,1.0,2.0,PF,2005.0
7214,Drew Gooden,10.0,0.0,2.0,PF,2006.0
7215,Drew Gooden,10.0,1.0,3.0,PF,2007.0
7216,Drew Gooden,10.0,0.0,2.0,PF,2008.0
7301,Dwight Howard,11.0,0.0,3.0,PF,2005.0
7302,Dwight Howard,15.0,1.0,3.0,PF,2006.0
7303,Dwight Howard,17.0,1.0,3.0,C,2007.0
7304,Dwight Howard,20.0,1.0,3.0,C,2008.0
7305,Dwight Howard,19.0,1.0,4.0,C,2009.0
7306,Dwight Howard,18.0,1.0,3.0,C,2010.0
7307,Dwight Howard,21.0,1.0,3.0,C,2011.0
7308,Dwight Howard,13.0,1.0,2.0,C,2012.0
7309,Dwight Howard,15.0,1.0,3.0,C,2013.0
7310,Dwight Howard,15.0,1.0,2.0,C,2014.0
7312,Dwight Howard,11.0,1.0,2.0,C,2016.0
7313,Dwight Howard,12.0,1.0,3.0,C,2017.0
7334,Dwyane Wade,12.0,3.0,1.0,PG,2004.0
7335,Dwyane Wade,22.0,6.0,1.0,SG,2005.0
7336,Dwyane Wade,24.0,6.0,1.0,SG,2006.0
7339,Dwyane Wade,29.0,7.0,1.0,SG,2009.0
7340,Dwyane Wade,24.0,6.0,1.0,SG,2010.0
7341,Dwyane Wade,23.0,4.0,1.0,SG,2011.0
7343,Dwyane Wade,17.0,4.0,1.0,SG,2013.0
7346,Dwyane Wade,17.0,4.0,1.0,SG,2016.0
7378,Earl Boykins,12.0,4.0,0.0,PG,2005.0
7380,Earl Boykins,11.0,3.0,0.0,PG,2007.0
7454,Earl Watson,8.0,5.0,0.0,PG,2007.0
7455,Earl Watson,10.0,6.0,0.0,PG,2008.0
7457,Earl Watson,7.0,4.0,0.0,PG,2010.0
7666,Eddie Jones,17.0,3.0,0.0,SG,2000.0
7667,Eddie Jones,13.0,2.0,0.0,SG,2001.0
7668,Eddie Jones,18.0,3.0,0.0,SG,2002.0
7670,Eddie Jones,17.0,3.0,0.0,SG,2004.0
7671,Eddie Jones,12.0,2.0,0.0,SF,2005.0
7672,Eddie Jones,10.0,2.0,0.0,SG,2006.0
7723,Eddy Curry,13.0,0.0,1.0,PF,2004.0
7726,Eddy Curry,19.0,0.0,2.0,C,2007.0
7782,Elden Campbell,12.0,1.0,2.0,C,2000.0
7783,Elden Campbell,12.0,1.0,1.0,PF,2001.0
7784,Elden Campbell,13.0,1.0,1.0,PF,2002.0
7802,Elfrid Payton,8.0,6.0,1.0,PG,2015.0
7803,Elfrid Payton,9.0,5.0,0.0,PG,2016.0
7804,Elfrid Payton,12.0,6.0,1.0,PG,2017.0
7877,Elton Brand,19.0,1.0,4.0,PF,2000.0
7878,Elton Brand,18.0,2.0,3.0,PF,2001.0
7879,Elton Brand,17.0,2.0,4.0,PF,2002.0
7880,Elton Brand,13.0,1.0,3.0,PF,2003.0
7881,Elton Brand,16.0,2.0,3.0,PF,2004.0
7882,Elton Brand,19.0,2.0,3.0,PF,2005.0
7883,Elton Brand,23.0,2.0,2.0,PF,2006.0
7884,Elton Brand,20.0,2.0,3.0,PF,2007.0
7887,Elton Brand,12.0,1.0,2.0,PF,2010.0
7888,Elton Brand,14.0,1.0,2.0,PF,2011.0
7924,Emeka Okafor,13.0,0.0,3.0,PF,2005.0
7926,Emeka Okafor,11.0,0.0,3.0,C,2007.0
7927,Emeka Okafor,13.0,0.0,3.0,C,2008.0
7928,Emeka Okafor,13.0,0.0,3.0,C,2009.0
7929,Emeka Okafor,10.0,0.0,3.0,C,2010.0
7930,Emeka Okafor,9.0,0.0,2.0,C,2011.0
7932,Emeka Okafor,9.0,1.0,2.0,C,2013.0
7933,Emmanuel Mudiay,10.0,4.0,0.0,PG,2016.0
7937,Enes Kanter,12.0,0.0,2.0,C,2014.0
7938,Enes Kanter,14.0,0.0,3.0,C,2015.0
7962,Eric Bledsoe,16.0,6.0,0.0,PG,2015.0
7964,Eric Bledsoe,16.0,5.0,0.0,PG,2017.0
7974,Eric Gordon,15.0,2.0,0.0,SG,2009.0
7975,Eric Gordon,12.0,2.0,0.0,SG,2010.0
7976,Eric Gordon,15.0,2.0,0.0,SG,2011.0
7979,Eric Gordon,12.0,2.0,0.0,SG,2014.0
7980,Eric Gordon,9.0,2.0,0.0,SG,2015.0
7982,Eric Gordon,14.0,2.0,0.0,SG,2017.0
8056,Eric Piatkowski,10.0,1.0,0.0,SG,2001.0
8075,Eric Snow,7.0,7.0,0.0,PG,2000.0
8077,Eric Snow,9.0,4.0,0.0,PG,2002.0
8078,Eric Snow,12.0,6.0,0.0,PG,2003.0
8079,Eric Snow,10.0,6.0,0.0,PG,2004.0
8081,Eric Snow,4.0,4.0,0.0,PG,2006.0
8097,Eric Williams,9.0,1.0,1.0,SF,2003.0
8117,Erick Dampier,11.0,0.0,4.0,C,2004.0
8133,Erick Strickland,10.0,2.0,0.0,SG,2000.0
8181,Ersan Ilyasova,11.0,1.0,1.0,PF,2013.0
8187,Ersan Ilyasova,13.0,1.0,1.0,PF,2017.0
8197,Ervin Johnson,4.0,0.0,2.0,C,2000.0
8249,Evan Fournier,14.0,2.0,0.0,SF,2016.0
8250,Evan Fournier,14.0,2.0,0.0,SG,2017.0
8253,Evan Turner,13.0,4.0,0.0,SF,2013.0
8254,Evan Turner,13.0,3.0,0.0,SF,2014.0
8257,Evan Turner,9.0,5.0,0.0,SG,2015.0
8258,Evan Turner,10.0,4.0,0.0,SG,2016.0
8352,Francisco Garcia,11.0,1.0,0.0,SF,2008.0
8505,Fred Hoiberg,8.0,3.0,0.0,SG,2001.0
8512,Fred Jones,9.0,2.0,0.0,SG,2005.0
8690,Gary Harris,11.0,1.0,0.0,SG,2016.0
8722,Gary Payton*,24.0,8.0,1.0,PG,2000.0
8723,Gary Payton*,22.0,7.0,0.0,PG,2001.0
8724,Gary Payton*,22.0,8.0,0.0,PG,2002.0
8725,Gary Payton*,19.0,8.0,0.0,PG,2003.0
8726,Gary Payton*,13.0,5.0,0.0,PG,2003.0
8728,Gary Payton*,14.0,5.0,0.0,PG,2004.0
8729,Gary Payton*,10.0,5.0,0.0,PG,2005.0
8730,Gary Payton*,7.0,3.0,0.0,PG,2006.0
8866,George Hill,11.0,2.0,0.0,PG,2010.0
8867,George Hill,10.0,2.0,0.0,PG,2011.0
8869,George Hill,13.0,4.0,0.0,PG,2013.0
8870,George Hill,9.0,3.0,0.0,PG,2014.0
8872,George Hill,10.0,3.0,0.0,PG,2016.0
8927,George Lynch,8.0,1.0,2.0,SF,2000.0
8928,George Lynch,8.0,1.0,2.0,SF,2001.0
8944,George McCloud,9.0,3.0,0.0,SF,2000.0
8945,George McCloud,8.0,3.0,0.0,SF,2001.0
9037,Gerald Green,15.0,1.0,0.0,SG,2014.0
9065,Gerald Henderson,12.0,2.0,0.0,SG,2013.0
9066,Gerald Henderson,13.0,2.0,0.0,SG,2014.0
9067,Gerald Henderson,11.0,2.0,0.0,SG,2015.0
9082,Gerald Wallace,9.0,1.0,1.0,SF,2005.0
9084,Gerald Wallace,15.0,2.0,1.0,SF,2007.0
9085,Gerald Wallace,14.0,2.0,0.0,PF,2008.0
9086,Gerald Wallace,14.0,2.0,1.0,SF,2009.0
9087,Gerald Wallace,16.0,1.0,1.0,SF,2010.0
9088,Gerald Wallace,13.0,2.0,1.0,SF-PF,2011.0
9091,Gerald Wallace,9.0,2.0,1.0,SF,2012.0
9094,Gerald Wallace,6.0,2.0,0.0,SF,2013.0
9126,Giannis Antetokounmpo,12.0,2.0,1.0,SG,2015.0
9127,Giannis Antetokounmpo,16.0,4.0,1.0,PG,2016.0
9128,Giannis Antetokounmpo,22.0,5.0,1.0,SF,2017.0
9131,Gilbert Arenas,18.0,6.0,1.0,PG,2003.0
9132,Gilbert Arenas,13.0,3.0,0.0,PG,2004.0
9133,Gilbert Arenas,24.0,5.0,1.0,PG,2005.0
9134,Gilbert Arenas,28.0,5.0,0.0,PG,2006.0
9135,Gilbert Arenas,25.0,5.0,0.0,PG,2007.0
9146,Glen Davis,11.0,1.0,1.0,C,2011.0
9169,Glen Rice,15.0,2.0,0.0,SF,2000.0
9170,Glen Rice,10.0,1.0,0.0,SF,2001.0
9193,Glenn Robinson,20.0,2.0,1.0,SF,2000.0
9194,Glenn Robinson,20.0,3.0,1.0,SF,2001.0
9195,Glenn Robinson,16.0,2.0,0.0,SF,2002.0
9196,Glenn Robinson,17.0,2.0,1.0,SF,2003.0
9212,Goran Dragic,13.0,6.0,0.0,PG,2013.0
9213,Goran Dragic,18.0,5.0,0.0,SG,2014.0
9214,Goran Dragic,15.0,4.0,0.0,SG-PG,2015.0
9217,Goran Dragic,12.0,5.0,0.0,PG,2016.0
9218,Goran Dragic,18.0,5.0,0.0,PG,2017.0
9219,Gordan Giricek,11.0,1.0,0.0,SG-SF,2003.0
9222,Gordan Giricek,10.0,1.0,0.0,SF-SG,2004.0
9233,Gordon Hayward,9.0,2.0,0.0,SF,2012.0
9234,Gordon Hayward,12.0,2.0,0.0,SF,2013.0
9235,Gordon Hayward,15.0,4.0,0.0,SF,2014.0
9236,Gordon Hayward,17.0,3.0,0.0,SF,2015.0
9237,Gordon Hayward,19.0,3.0,0.0,SF,2016.0
9238,Gordon Hayward,19.0,3.0,0.0,SF,2017.0
9240,Gorgui Dieng,8.0,1.0,2.0,C,2015.0
9241,Gorgui Dieng,10.0,1.0,1.0,C,2016.0
9242,Gorgui Dieng,9.0,1.0,2.0,PF,2017.0
9251,Grant Hill,23.0,4.0,1.0,SF,2000.0
9255,Grant Hill,16.0,2.0,0.0,SF,2005.0
9257,Grant Hill,11.0,1.0,0.0,SG,2007.0
9258,Grant Hill,11.0,2.0,0.0,SF,2008.0
9259,Grant Hill,12.0,2.0,0.0,SF,2009.0
9260,Grant Hill,11.0,2.0,0.0,SF,2010.0
9261,Grant Hill,12.0,2.0,0.0,SF,2011.0
9427,Greg Monroe,9.0,1.0,3.0,C,2011.0
9428,Greg Monroe,12.0,1.0,2.0,C,2012.0
9429,Greg Monroe,15.0,3.0,2.0,C,2013.0
9430,Greg Monroe,15.0,2.0,3.0,PF,2014.0
9431,Greg Monroe,13.0,1.0,2.0,PF,2015.0
9432,Greg Monroe,14.0,2.0,2.0,C,2016.0
9445,Greg Ostertag,6.0,1.0,2.0,C,2004.0
9478,Greivis Vasquez,13.0,8.0,0.0,PG,2013.0
9575,Hakim Warrick,12.0,0.0,1.0,PF,2007.0
9577,Hakim Warrick,11.0,0.0,1.0,PF,2009.0
9663,Harrison Barnes,9.0,1.0,0.0,SF,2013.0
9664,Harrison Barnes,9.0,1.0,0.0,SF,2014.0
9665,Harrison Barnes,10.0,1.0,1.0,SF,2015.0
9666,Harrison Barnes,9.0,1.0,0.0,SF,2016.0
9667,Harrison Barnes,18.0,1.0,1.0,PF,2017.0
9730,Hassan Whiteside,12.0,0.0,2.0,C,2016.0
9731,Hassan Whiteside,15.0,0.0,3.0,C,2017.0
9747,Hedo Turkoglu,9.0,1.0,0.0,SF,2004.0
9749,Hedo Turkoglu,14.0,2.0,0.0,SF,2006.0
9750,Hedo Turkoglu,11.0,2.0,0.0,SF,2007.0
9751,Hedo Turkoglu,19.0,4.0,1.0,SF,2008.0
9752,Hedo Turkoglu,15.0,4.0,0.0,SF,2009.0
9753,Hedo Turkoglu,10.0,3.0,0.0,SF,2010.0
9754,Hedo Turkoglu,10.0,4.0,0.0,SF-PF,2011.0
9866,Hollis Thompson,9.0,1.0,0.0,SG,2016.0
9886,Horace Grant,7.0,2.0,2.0,PF,2000.0
9887,Horace Grant,8.0,1.0,2.0,PF,2001.0
9888,Horace Grant,7.0,1.0,1.0,C,2002.0
9923,Howard Eisley,8.0,4.0,0.0,PG,2000.0
9924,Howard Eisley,9.0,3.0,0.0,SG,2001.0
9926,Howard Eisley,9.0,5.0,0.0,PG,2003.0
10044,Ime Udoka,7.0,1.0,1.0,SF,2007.0
10097,Isaiah Rider,14.0,2.0,0.0,SG,2000.0
10102,Isaiah Thomas,13.0,3.0,0.0,PG,2013.0
10103,Isaiah Thomas,17.0,5.0,0.0,PG,2014.0
10107,Isaiah Thomas,22.0,6.0,0.0,PG,2016.0
10108,Isaiah Thomas,26.0,5.0,0.0,PG,2017.0
10124,Ish Smith,11.0,6.0,0.0,PG,2016.0
10166,J.J. Hickson,13.0,1.0,2.0,C,2011.0
10170,J.J. Hickson,12.0,1.0,3.0,C,2013.0
10183,J.J. Redick,13.0,3.0,0.0,SG,2013.0
10187,J.J. Redick,15.0,1.0,0.0,SG,2015.0
10188,J.J. Redick,14.0,1.0,0.0,SG,2016.0
10189,J.J. Redick,14.0,1.0,0.0,SG,2017.0
10220,J.R. Smith,15.0,2.0,0.0,SG,2009.0
10221,J.R. Smith,14.0,2.0,0.0,SG,2010.0
10224,J.R. Smith,17.0,2.0,0.0,SG,2013.0
10225,J.R. Smith,13.0,2.0,0.0,SF,2014.0
10226,J.R. Smith,10.0,2.0,0.0,SG,2015.0
10229,J.R. Smith,11.0,1.0,0.0,SG,2016.0
10233,Jabari Parker,13.0,1.0,1.0,PF,2016.0
10407,Jae Crowder,12.0,1.0,0.0,SF,2016.0
10408,Jae Crowder,12.0,1.0,0.0,SF,2017.0
10461,Jalen Rose,17.0,3.0,0.0,SF,2000.0
10462,Jalen Rose,18.0,5.0,0.0,SF,2001.0
10463,Jalen Rose,20.0,4.0,0.0,SF,2002.0
10466,Jalen Rose,22.0,4.0,0.0,SF,2003.0
10467,Jalen Rose,12.0,4.0,0.0,PG-SF,2004.0
10470,Jalen Rose,18.0,2.0,0.0,SF,2005.0
10479,Jamaal Magloire,10.0,1.0,3.0,C,2003.0
10480,Jamaal Magloire,13.0,1.0,3.0,C,2004.0
10482,Jamaal Magloire,9.0,0.0,2.0,C,2006.0
10491,Jamaal Tinsley,9.0,7.0,0.0,PG,2002.0
10492,Jamaal Tinsley,6.0,6.0,0.0,PG,2003.0
10496,Jamaal Tinsley,11.0,6.0,0.0,PG,2007.0
10517,Jamal Crawford,16.0,4.0,0.0,SG,2004.0
10518,Jamal Crawford,15.0,3.0,0.0,SG,2005.0
10519,Jamal Crawford,13.0,3.0,0.0,SG,2006.0
10520,Jamal Crawford,12.0,3.0,0.0,SG,2007.0
10521,Jamal Crawford,20.0,4.0,0.0,SG,2008.0
10522,Jamal Crawford,15.0,3.0,0.0,PG-SG,2009.0
10524,Jamal Crawford,12.0,2.0,0.0,PG,2009.0
10525,Jamal Crawford,17.0,2.0,0.0,SG,2010.0
10526,Jamal Crawford,13.0,2.0,0.0,SG,2011.0
10528,Jamal Crawford,15.0,2.0,0.0,SG,2013.0
10529,Jamal Crawford,15.0,2.0,0.0,SG,2014.0
10531,Jamal Crawford,13.0,2.0,0.0,SG,2016.0
10532,Jamal Crawford,12.0,2.0,0.0,SG,2017.0
10541,Jamal Mashburn,16.0,3.0,0.0,SF,2000.0
10542,Jamal Mashburn,18.0,5.0,1.0,SF,2001.0
10544,Jamal Mashburn,21.0,5.0,0.0,SF,2003.0
10553,Jamario Moon,8.0,1.0,1.0,SF,2008.0
10554,Jamario Moon,7.0,1.0,0.0,SF,2009.0
10564,Jameer Nelson,12.0,4.0,0.0,PG,2007.0
10568,Jameer Nelson,12.0,5.0,0.0,PG,2011.0
10571,Jameer Nelson,10.0,5.0,0.0,PG,2014.0
10577,Jameer Nelson,8.0,4.0,0.0,PG,2017.0
10587,James Anderson,9.0,1.0,0.0,SG,2014.0
10660,James Harden,12.0,2.0,0.0,SG,2011.0
10662,James Harden,24.0,5.0,0.0,SG,2013.0
10663,James Harden,22.0,5.0,0.0,SG,2014.0
10664,James Harden,27.0,6.0,0.0,SG,2015.0
10665,James Harden,28.0,7.0,0.0,SG,2016.0
10666,James Harden,28.0,11.0,1.0,PG,2017.0
10680,James Johnson,11.0,3.0,0.0,PF,2017.0
10703,James Posey,8.0,1.0,1.0,SF,2000.0
10704,James Posey,8.0,1.0,1.0,SF,2001.0
10705,James Posey,9.0,2.0,1.0,SF,2002.0
10706,James Posey,10.0,2.0,1.0,SF,2003.0
10709,James Posey,13.0,1.0,1.0,SG,2004.0
10714,James Posey,8.0,1.0,0.0,SG,2009.0
10781,Jamie Feick,5.0,0.0,3.0,C,2000.0
10798,JaMychal Green,8.0,1.0,2.0,PF,2017.0
10841,Jared Dudley,10.0,1.0,1.0,SF,2011.0
10842,Jared Dudley,10.0,1.0,1.0,SG,2012.0
10843,Jared Dudley,10.0,2.0,0.0,SF,2013.0
10846,Jared Dudley,7.0,2.0,0.0,PF,2016.0
10850,Jared Jeffries,6.0,1.0,1.0,SF,2005.0
10866,Jared Sullinger,11.0,1.0,2.0,PF,2014.0
10892,Jarrett Jack,11.0,5.0,0.0,PG,2007.0
10893,Jarrett Jack,9.0,3.0,0.0,SG,2008.0
10894,Jarrett Jack,13.0,4.0,0.0,SG,2009.0
10895,Jarrett Jack,11.0,5.0,0.0,PG,2010.0
10900,Jarrett Jack,12.0,5.0,0.0,SG,2013.0
10901,Jarrett Jack,9.0,3.0,0.0,PG,2014.0
10902,Jarrett Jack,11.0,4.0,0.0,PG,2015.0
10918,Jarvis Hayes,8.0,1.0,0.0,SF,2004.0
10937,Jason Caffey,10.0,1.0,2.0,PF,2000.0
10948,Jason Collins,5.0,1.0,1.0,C,2004.0
