,Name,Points,Assists,OffensiveRebounds,Position,Season
23598,Udonis Haslem,0.23809523809523808,0.14285714285714285,0.5,PF,2005.0
23599,Udonis Haslem,0.19047619047619047,0.14285714285714285,0.5,PF,2006.0
23600,Udonis Haslem,0.23809523809523808,0.14285714285714285,0.5,PF,2007.0
23602,Udonis Haslem,0.19047619047619047,0.14285714285714285,0.5,PF,2009.0
23603,Udonis Haslem,0.19047619047619047,0.0,0.5,PF,2010.0
23700,Vin Baker,0.2857142857142857,0.14285714285714285,0.5,PF,2001.0
23818,Vladimir Radmanovic,0.2857142857142857,0.14285714285714285,0.25,PF,2004.0
24519,Zach Randolph,0.6666666666666666,0.14285714285714285,0.5,PF,2004.0
24521,Zach Randolph,0.5238095238095238,0.14285714285714285,0.5,PF,2006.0
24522,Zach Randolph,0.6666666666666666,0.14285714285714285,0.5,PF,2007.0
24527,Zach Randolph,0.7142857142857143,0.14285714285714285,1.0,PF,2010.0
24528,Zach Randolph,0.6190476190476191,0.14285714285714285,0.75,PF,2011.0
24530,Zach Randolph,0.42857142857142855,0.14285714285714285,0.75,PF,2013.0
24531,Zach Randolph,0.5238095238095238,0.2857142857142857,0.75,PF,2014.0
24532,Zach Randolph,0.38095238095238093,0.14285714285714285,0.5,PF,2015.0
24533,Zach Randolph,0.3333333333333333,0.14285714285714285,0.5,PF,2016.0
