,Name,Points,Assists,OffensiveRebounds,Position,Season
13996,Kevin Garnett,0.7142857142857143,0.42857142857142855,0.5,PF,2006.0
13997,Kevin Garnett,0.7142857142857143,0.42857142857142855,0.5,PF,2007.0
13998,Kevin Garnett,0.5238095238095238,0.2857142857142857,0.25,PF,2008.0
14000,Kevin Garnett,0.3333333333333333,0.2857142857142857,0.0,PF,2010.0
14001,Kevin Garnett,0.3333333333333333,0.2857142857142857,0.25,PF,2011.0
14071,Kevin Love,0.6190476190476191,0.2857142857142857,1.0,PF,2011.0
14072,Kevin Love,0.5714285714285714,0.14285714285714285,0.5,PF,2012.0
14074,Kevin Love,0.9047619047619048,0.5714285714285714,0.5,PF,2014.0
14075,Kevin Love,0.42857142857142855,0.2857142857142857,0.25,PF,2015.0
14076,Kevin Love,0.47619047619047616,0.2857142857142857,0.25,PF,2016.0
14373,Kris Humphries,0.19047619047619047,0.14285714285714285,0.5,PF,2011.0
14374,Kris Humphries,0.23809523809523808,0.14285714285714285,0.5,PF,2012.0
14386,Kristaps Porzingis,0.3333333333333333,0.14285714285714285,0.25,PF,2016.0
14387,Kristaps Porzingis,0.42857142857142855,0.14285714285714285,0.25,PF,2017.0
14424,Kurt Thomas,0.19047619047619047,0.0,0.5,PF,2001.0
14427,Kurt Thomas,0.23809523809523808,0.14285714285714285,0.25,PF,2004.0
14428,Kurt Thomas,0.2857142857142857,0.14285714285714285,0.5,PF,2005.0
14441,Kwame Brown,0.19047619047619047,0.14285714285714285,0.5,PF,2004.0
14533,Lamar Odom,0.47619047619047616,0.5714285714285714,0.25,PF,2001.0
14536,Lamar Odom,0.5238095238095238,0.42857142857142855,0.25,PF,2004.0
14537,Lamar Odom,0.2857142857142857,0.2857142857142857,0.25,PF,2005.0
14538,Lamar Odom,0.42857142857142855,0.7142857142857143,0.5,PF,2006.0
14539,Lamar Odom,0.23809523809523808,0.42857142857142855,0.25,PF,2007.0
14540,Lamar Odom,0.38095238095238093,0.42857142857142855,0.5,PF,2008.0
14541,Lamar Odom,0.23809523809523808,0.2857142857142857,0.5,PF,2009.0
14542,Lamar Odom,0.23809523809523808,0.42857142857142855,0.5,PF,2010.0
14543,Lamar Odom,0.42857142857142855,0.42857142857142855,0.5,PF,2011.0
14549,LaMarcus Aldridge,0.5238095238095238,0.14285714285714285,0.5,PF,2008.0
14550,LaMarcus Aldridge,0.5714285714285714,0.14285714285714285,0.5,PF,2009.0
14551,LaMarcus Aldridge,0.5238095238095238,0.14285714285714285,0.5,PF,2010.0
14552,LaMarcus Aldridge,0.7619047619047619,0.2857142857142857,0.75,PF,2011.0
14554,LaMarcus Aldridge,0.6666666666666666,0.2857142857142857,0.5,PF,2013.0
14555,LaMarcus Aldridge,0.6666666666666666,0.2857142857142857,0.5,PF,2014.0
14556,LaMarcus Aldridge,0.7142857142857143,0.14285714285714285,0.5,PF,2015.0
14557,LaMarcus Aldridge,0.5238095238095238,0.14285714285714285,0.5,PF,2016.0
14558,LaMarcus Aldridge,0.47619047619047616,0.14285714285714285,0.5,PF,2017.0
14719,Larry Johnson,0.19047619047619047,0.2857142857142857,0.25,PF,2000.0
14720,Larry Johnson,0.09523809523809523,0.14285714285714285,0.25,PF,2001.0
14944,LeBron James,0.9047619047619048,0.8571428571428571,0.25,PF,2013.0
14945,LeBron James,0.9523809523809523,0.7142857142857143,0.0,PF,2014.0
15403,Luc Mbah,0.09523809523809523,0.14285714285714285,0.5,PF,2009.0
15405,Luc Mbah,0.047619047619047616,0.0,0.5,PF,2011.0
15449,Luis Scola,0.23809523809523808,0.14285714285714285,0.5,PF,2008.0
15450,Luis Scola,0.3333333333333333,0.14285714285714285,0.5,PF,2009.0
15451,Luis Scola,0.5238095238095238,0.2857142857142857,0.5,PF,2010.0
15452,Luis Scola,0.5238095238095238,0.2857142857142857,0.25,PF,2011.0
15453,Luis Scola,0.3333333333333333,0.14285714285714285,0.25,PF,2012.0
15454,Luis Scola,0.3333333333333333,0.2857142857142857,0.25,PF,2013.0
15529,Luol Deng,0.2857142857142857,0.14285714285714285,0.25,PF,2016.0
15632,Malik Allen,0.19047619047619047,0.0,0.25,PF,2003.0
15832,Marcus Morris,0.23809523809523808,0.14285714285714285,0.0,PF,2015.0
16133,Markieff Morris,0.38095238095238093,0.14285714285714285,0.25,PF,2014.0
16134,Markieff Morris,0.47619047619047616,0.2857142857142857,0.25,PF,2015.0
16138,Markieff Morris,0.3333333333333333,0.14285714285714285,0.25,PF,2017.0
16258,Marvin Williams,0.23809523809523808,0.14285714285714285,0.25,PF,2007.0
16266,Marvin Williams,0.09523809523809523,0.14285714285714285,0.0,PF,2015.0
16267,Marvin Williams,0.2857142857142857,0.14285714285714285,0.25,PF,2016.0
16268,Marvin Williams,0.23809523809523808,0.14285714285714285,0.25,PF,2017.0
16288,Matt Barnes,0.19047619047619047,0.2857142857142857,0.0,PF,2009.0
16467,Maurice Taylor,0.3333333333333333,0.14285714285714285,0.25,PF,2000.0
16470,Maurice Taylor,0.23809523809523808,0.14285714285714285,0.25,PF,2004.0
16515,Mehmet Okur,0.5714285714285714,0.2857142857142857,0.5,PF,2006.0
16630,Michael Beasley,0.38095238095238093,0.14285714285714285,0.25,PF,2009.0
16631,Michael Beasley,0.42857142857142855,0.14285714285714285,0.25,PF,2010.0
17308,Mikki Moore,0.14285714285714285,0.14285714285714285,0.25,PF,2008.0
17742,Nenad Krstic,0.38095238095238093,0.14285714285714285,0.5,PF,2006.0
17751,Nene Hilario,0.2857142857142857,0.2857142857142857,0.25,PF,2004.0
17790,Nick Collison,0.19047619047619047,0.14285714285714285,0.75,PF,2008.0
18096,Othella Harrington,0.38095238095238093,0.14285714285714285,0.5,PF,2000.0
18186,P.J. Brown,0.19047619047619047,0.14285714285714285,0.5,PF,2000.0
18189,P.J. Brown,0.23809523809523808,0.14285714285714285,0.5,PF,2003.0
18190,P.J. Brown,0.23809523809523808,0.14285714285714285,0.5,PF,2004.0
18191,P.J. Brown,0.23809523809523808,0.2857142857142857,0.75,PF,2005.0
18250,Pat Garrity,0.23809523809523808,0.14285714285714285,0.0,PF,2002.0
18251,Pat Garrity,0.23809523809523808,0.14285714285714285,0.0,PF,2003.0
18309,Patrick Patterson,0.09523809523809523,0.14285714285714285,0.25,PF,2015.0
18310,Patrick Patterson,0.047619047619047616,0.14285714285714285,0.0,PF,2016.0
18321,Pau Gasol,0.6190476190476191,0.2857142857142857,0.5,PF,2003.0
18322,Pau Gasol,0.5238095238095238,0.2857142857142857,0.5,PF,2004.0
18324,Pau Gasol,0.6666666666666666,0.5714285714285714,0.5,PF,2006.0
18332,Pau Gasol,0.38095238095238093,0.2857142857142857,0.5,PF,2012.0
18335,Pau Gasol,0.5714285714285714,0.2857142857142857,0.5,PF,2015.0
18398,Paul Millsap,0.3333333333333333,0.14285714285714285,0.75,PF,2009.0
18399,Paul Millsap,0.2857142857142857,0.14285714285714285,0.5,PF,2010.0
